headline,abstract,desk,locations,word_count,snippet,source,subjects,url,section,date,type,id
"After the Military Strikes, Solid Information and Details Were Slow in Arriving","Article discusses television reporting of US attacks on Taliban government of Afghanistan; details are sketchy as attacks begin, and networks rely on Al Jazeera, Arab-language news network with safellite uplink in Afghan capital of Kabul (M)",Business/Financial Desk,"[u'NEW YORK CITY', u'KABUL (AFGHANISTAN)', u'WASHINGTON (DC)', u'AFGHANISTAN']",701,"It has become an American television ritual: As United States military forces take action, sporting events, comedy shows and dramatic series give way to the grim faces of news anchors and the hazy green, night-vision images of explosions and...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'ARABIC LANGUAGE', u'PENTAGON BUILDING', u'TELEVISION', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/business/nation-challenged-media-after-military-strikes-solid-information-details-were.html,Business; Washington,2001-10-08,News,4fd228a58eb7c8105d7b1e58
Thunderous Blasts And Bright Flashes Mark Kabul Strikes,"Steady bombardment in and around Kabul, Afghanistan, by US and British forces in start of antiterrorist military campaign described; explosions and bright flashes from detonating bombs are cheered by scores of opposition Northern Alliance fighters manning mountainside positions above strategic Shamali Plain outside Kabul (M)",Foreign Desk,"[u'NEW YORK CITY', u'GREAT BRITAIN', u'KABUL (AFGHANISTAN)', u'WASHINGTON (DC)', u'AFGHANISTAN']",1340,"Under a clear sky lit by a three-quarters moon, a steady bombardment of Kabul began Sunday night, sending bright flashes of light and loud concussions rolling across this farming plain just 35 miles north of the Afghan capital.    The American...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/world/nation-challenged-front-thunderous-blasts-bright-flashes-mark-kabul-strikes.html,World; Front Page; Washington,2001-10-08,News,4fd218158eb7c8105d7940fb
A Time of Reckoning,"Prof Fawaz A Gerges Op-Ed article says Americans and Muslims face their greatest challenge in wake of September 11 terrorist attacks against US and beginning of US military action in Afghanistan; says even though US government believes Bush administration has made extraordinary efforts to show that action is not between Islam and rest of world, case for war against terrorist networks has not been effectivewly communicated to Arabs and Muslims; says US has yet to engage civil society leaders and opinion makers in Muslim world to fully explain nature and purpose of Washington's strategy; says American emissaries will need to convince all Arabs and Muslims, not only their governments, that Muslim societies must not allow few fanatics to commandeer their political future; drawing (M)",Editorial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)', u'AFGHANISTAN']",1019,"For Muslims of the Middle East and south and central Asia, the moment of reckoning arrived yesterday. The Bush administration has made what are, for an American government, extraordinary efforts to show that the war that began Sept. 11 will not be...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'ISLAM', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/opinion/a-time-of-reckoning.html,Opinion,2001-10-08,Op-Ed,4fd263708eb7c8105d815d5d
Thunderous Blasts And Bright Flashes Mark Kabul Strikes,"Steady bombardment in and around Kabul, Afghanistan, by US and British forces in start of antiterrorist military campaign described; explosions and bright flashes from detonating bombs are cheered by scores of opposition Northern Alliance fighters manning mountainside positions above strategic Shamali Plain outside Kabul (M)",Foreign Desk,"[u'NEW YORK CITY', u'GREAT BRITAIN', u'KABUL (AFGHANISTAN)', u'WASHINGTON (DC)', u'AFGHANISTAN']",1340,"Under a clear sky lit by a three-quarters moon, a steady bombardment of Kabul began Sunday night, sending bright flashes of light and loud concussions rolling across this farming plain just 35 miles north of the Afghan capital.    The American...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/world/nation-challenged-front-thunderous-blasts-bright-flashes-mark-kabul-strikes.html,World; Front Page; Washington,2001-10-08,News,4fd218158eb7c8105d7940fb
A Time of Reckoning,"Prof Fawaz A Gerges Op-Ed article says Americans and Muslims face their greatest challenge in wake of September 11 terrorist attacks against US and beginning of US military action in Afghanistan; says even though US government believes Bush administration has made extraordinary efforts to show that action is not between Islam and rest of world, case for war against terrorist networks has not been effectivewly communicated to Arabs and Muslims; says US has yet to engage civil society leaders and opinion makers in Muslim world to fully explain nature and purpose of Washington's strategy; says American emissaries will need to convince all Arabs and Muslims, not only their governments, that Muslim societies must not allow few fanatics to commandeer their political future; drawing (M)",Editorial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)', u'AFGHANISTAN']",1019,"For Muslims of the Middle East and south and central Asia, the moment of reckoning arrived yesterday. The Bush administration has made what are, for an American government, extraordinary efforts to show that the war that began Sept. 11 will not be...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'ISLAM', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/opinion/a-time-of-reckoning.html,Opinion,2001-10-08,Op-Ed,4fd263708eb7c8105d815d5d
Experts Say Bin Laden Is Distorting Sacred Text,Leading American scholars and practitioners of Islam say that Osama bin Laden twisted and debased Muslim theology in videotaped statement in which he called on Muslims to emulate those who attacked America on Sept 11 (M),National Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",553,Leading American scholars and practitioners of Islam said yesterday that Osama bin Laden had twisted and debased Muslim theology in a videotaped statement in which he called on ''every Muslim'' to ''rush to make his religion victorious'' by emulating...,The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'RECORDINGS (VIDEO)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'ISLAM', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/us/a-nation-challenged-the-koran-experts-say-bin-laden-is-distorting-sacred-text.html,U.S.,2001-10-08,News,4fd263708eb7c8105d815d6c
"Precautions Increase, and Officials Advise: Get Used to It","Security at bridges, tunnels, airports, commuter hubs and other critical sites is ratcheted up across New York metropolitan region as nation launches strikes in Afghanistan; officials urge residents to be patient with added security measures; photo (M)",Metropolitan Desk,"[u'NEW YORK CITY', u'NEW YORK CITY METROPOLITAN AREA', u'WASHINGTON (DC)']",1062,"Security at bridges, tunnels, airports, commuter hubs, government buildings and other critical sites -- already high for nearly four weeks -- was ratcheted up across the New York metropolitan region again yesterday as the nation launched strikes in...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'AIRPORTS', u'PENTAGON BUILDING', u'BRIDGES AND TUNNELS', u'ROADS AND TRAFFIC', u'MISSING PERSONS', u'HIJACKING', u'SECURITY AND WARNING SYSTEMS', u'COMMUTING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/nyregion/nation-challenged-regional-measures-precautions-increase-officials-advise-get.html,New York and Region,2001-10-08,News,4fd2323c8eb7c8105d7c1e28
Bin Laden Taunts U.S. and Praises Hijackers,"Osama bin Laden appears on videotape, broadcast worldwide within hours of US and British military attacks on Afghanistan, in which he taunts US and celebrates September 11 terrorist attacks; expresses torrent of contempt for US; vows it will not live in peace as long as goals of his Islamic extremist group remain unmet; says US is experiencing humiliation and disgrace that Islamic nations have endured for past 80 years; heaps praise on 19 men identified by US as hijackers of planes used in attacks; reiterates vow to drive American troops from Arabian peninsula; photo (M)",Foreign Desk,"[u'NEW YORK CITY', u'MIDDLE EAST', u'WASHINGTON (DC)', u'SAUDI ARABIA', u'AFGHANISTAN']",1419,"Within hours of the first American bombs' dropping on Afghanistan, the world's most wanted man, Osama bin Laden, appeared in a videotape broadcast worldwide in which he taunted the United States and celebrated the Sept. 11 terrorist attacks.   ...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'RECORDINGS (VIDEO)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'BIOGRAPHICAL INFORMATION', u'HIJACKING', u'ISLAM', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/world/a-nation-challenged-the-wanted-man-bin-laden-taunts-us-and-praises-hijackers.html,World; Front Page; Washington,2001-10-08,News,4fd20f918eb7c8105d7822a6
No Significant Increase in Oil Price Is Seen,"Oil industry analysts do not predict rise in prices, which have been dropping since Sept 11 terrorist attacks on Pentagon and World Trade Center (M)",Business/Financial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",473,"Oil prices, which have plunged in the last three weeks, are not expected to rise significantly in the wake of the initial United States strike against Afghanistan, analysts said yesterday.    In the past, wars in the Middle East ignited fears about a...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'OIL (PETROLEUM) AND GASOLINE', u'MISSING PERSONS', u'PRICES (FARES, FEES AND RATES)', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/business/a-nation-challenged-energy-no-significant-increase-in-oil-price-is-seen.html,Business,2001-10-08,News,4fd218158eb7c8105d794106
"A Mission Begun, a Defiant bin Laden and Another Crisp, Clear Day",Overview of day's events as air strikes on Afghanistan get under way (M),Foreign Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)', u'AFGHANISTAN']",675,"And so it began. With long-range bombers and cruise missiles, the anticipated attack on Afghanistan got under way, the goal being to destroy Osama bin Laden's terrorist training camps and to get rid of his Taliban protectors. ''Now the Taliban will...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/world/overview-oct-7-2001-mission-begun-defiant-bin-laden-another-crisp-clear-day.html,World; Washington,2001-10-08,News,4fd263708eb7c8105d815d6b
Sunday of Muted Cheers and Renewed Fears,"Plans for leisurely Sunday activities are interrupted as air strikes against Taliban strongholds in Afghanistan begin; many television networks adopt all-news format, lighting up screens with fuzzy shadows and ghostly tracer missiles; Americans express fear and support, as they attend sports events, shop and try to maintain familiar routines; photo (M)",National Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)', u'AFGHANISTAN']",1383,"Tracy Alexander was selling microwave popcorn in front of a north Atlanta Kmart this afternoon, raising money for her son's Cub Scout pack, when she learned her country had gone to war. She got up and paced the sidewalk, asking rapid-fire but...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'TELEVISION', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'NEWS AND NEWS MEDIA', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/us/a-nation-challenged-the-reaction-sunday-of-muted-cheers-and-renewed-fears.html,U.S.; Washington,2001-10-08,News,4fd20f918eb7c8105d7822a5
A Nation Challenged,,Metropolitan Desk,[],1129,"The Attack    ASSAULT AGAINST AFGHANISTAN -- Striking at night, from aircraft carriers and distant bases, the United States and Great Britain launched a barrage of cruise missiles and long-range bombers against Afghanistan to try to destroy the...",The New York Times,[],http://www.nytimes.com/2001/10/08/nyregion/a-nation-challenged-560944.html,New York and Region,2001-10-08,Summary,4fd228a58eb7c8105d7b1e4d
Investigators Say Evidence Points to bin Laden Aides as Planning Attack,"Investigators determine that Osama bin Laden's top three lieutenants, Ayman al-Zawahiri, Muhammad Aref and Abu Zubaydah, helped plan Sept 11 attacks on America; they also have evidence linking several hijackers to Al Qaeda; photo (M)",Foreign Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",918,United States investigators say they have determined that Osama bin Laden's top three lieutenants helped plan the  attacks on the World Trade Center and the Pentagon.    The link to the leaders of Al Qaeda terrorist network was part of the rationale...,The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/world/nation-challenged-inquiry-investigators-say-evidence-points-bin-laden-aides.html,World; Washington,2001-10-08,News,4fd263708eb7c8105d815d61
"Tough Call, Spider-Man","Comic book writers, artists and publishers are debating how to portray Sept 11 terrorist attack; John Romita Jr, who draws Amazing Spider-Man for Marvel Comics, comments on how his superhero will respond; industry also plans tribute book filled mostly with drawings of firefighters and police officers, with proceeds to benefit attack victims; photos (M)",Business/Financial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",1016,"For the last two weeks, John Romita Jr. has sat at a drafting table with images of the World Trade Center pinned to the walls around him, struggling to render the aftermath of the attack on New York in comic book pictures.    Amazing Spider-Man No....",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'COMIC BOOKS AND STRIPS', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/business/media-tough-call-spider-man.html,Business,2001-10-08,News,4fd263708eb7c8105d815d60
"On a Sunday in October, We Are at War",Global Exchange official Tom Miller letter warns United States military attack on Afghanistan may spur terrorism; drawing,Editorial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)', u'AFGHANISTAN']",116,"To the Editor:    Time has not run out for the Taliban, which had been resigned to an American attack, but it has for the United States now that it has committed itself to a military solution.  Killing Osama bin Laden may give immediate satisfaction,...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/opinion/l-on-a-sunday-in-october-we-are-at-war-560510.html,Opinion,2001-10-08,Letter,4fd250368eb7c8105d7f379a
Investors Expected to Take Raids in Stride,Investors will enter unfamiliar territory as stock markets in United States and around world open for trading; military action was expected and analysts do not predict panic selling (M),Business/Financial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",812,"Investors will enter unfamiliar territory as stock markets in the United States and around the world open this morning for trading.    Asian stocks markets fell Monday morning, after the attack in Afghanistan. In Hong Kong, stocks were trading down...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'STOCKS AND BONDS', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/business/a-nation-challenged-stock-markets-investors-expected-to-take-raids-in-stride.html,Business,2001-10-08,News,4fd218158eb7c8105d7940ff
The American Offensive Begins,"Editorial, commenting on start of US-led military offensive against terrorist bases in Afghanistan, urges Bush administration and its allies to proceed carefully and wisely since military action represents only one front in wider campaign in which setting proper balance and maintaining it will require both skill and national self-control; says initial military action should be carefully directed at reasonable objectives (M)",Editorial Desk,"[u'NEW YORK CITY', u'GREAT BRITAIN', u'AFGHANISTAN']",634,A new and more dangerous phase of America's counterattack against terror began yesterday with United States and British airstrikes against Al Qaeda training camps and Taliban military targets in Afghanistan. It was a moment we have expected ever...,The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'EDITORIALS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/opinion/the-american-offensive-begins.html,Opinion,2001-10-08,Editorial,4fd250368eb7c8105d7f3792
Islamist Brings Out Followers Against U.S.,"Mullah Ghaffor Hydari of Pakistan's most militant religious party objects to house arrest of Mullah Fazlur Rehman, pro-Taliban leader in Peshawar, Pakistan; move expands Hydari's influence; photos (M)",Foreign Desk,"[u'NEW YORK CITY', u'PAKISTAN', u'WASHINGTON (DC)', u'AFGHANISTAN']",689,"The cleric lowered himself to the floor of his small office with great dignity and folded his legs beneath his bulky body. His bare feet were the color and texture of old leather.    Mullah Ghaffor Hydari, looking much older than 34, closed his eyes...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'MISSING PERSONS', u'POLITICS AND GOVERNMENT', u'HIJACKING', u'FREEDOM AND HUMAN RIGHTS', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/world/a-nation-challenged-the-mullahs-islamist-brings-out-followers-against-us.html,World,2001-10-08,News,4fd250368eb7c8105d7f378c
"Sports of The Times; First a Good Ballgame, Then Worry Returns",William C Rhoden Sports of The Times column discusses New York Giants victory over Washington Redskins (M),Sports Desk,[],893,"JUST as the Giants prepared to kick off to Washington here yesterday afternoon, President Bush went on national television and announced that the United States had launched an attack on targets in Afghanistan .    Call it a coincidence, call it the...",The New York Times,[u'FOOTBALL'],http://www.nytimes.com/2001/10/08/sports/sports-of-the-times-first-a-good-ballgame-then-worry-returns.html,Sports,2001-10-08,News,4fd218158eb7c8105d7940fe
Blair Declares the Airstrikes Are an Act of Self-Defense,Prime Minister Tony Blair gives details of Britain's participation in attacks on Taliban government in Afghanistan (M),Foreign Desk,"[u'NEW YORK CITY', u'GREAT BRITAIN', u'WASHINGTON (DC)', u'AFGHANISTAN']",780,"Prime Minister Tony Blair said tonight that British submarines had fired cruise missiles into Afghanistan as part of the opening salvos of the American-led war on terrorism, labeling the events ''a moment of the utmost gravity for the world.''    In...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/08/world/nation-challenged-britain-blair-declares-airstrikes-are-act-self-defense.html,World,2001-10-08,News,4fd250368eb7c8105d7f3790
A NATION CHALLENGED,,Metropolitan Desk,[],72,"Weeklong Campaign  The airstrikes on Taliban sites began what officials said would be a weeklong campaign, but Osama bin Laden was not a target.   PAGE B4    Nation on High Alert  Fearing reprisals, officials tightened security at airports, train...",The New York Times,[],http://www.nytimes.com/2001/10/08/nyregion/a-nation-challenged-559423.html,Front Page; New York and Region,2001-10-08,Summary,4fd263708eb7c8105d815d75
An Arab Station Offers Ground-Breaking Coverage,"Article discusses Al Jazeera, Arab-language satellite television network, which broadcast tape of Osama bin Laden praising Sept 11 terrorist attacks hours after US-led airstrikes against Afghanistan began; described as Arab world's CNN, broadcasting 24 hours of all-news and public-affairs programming from base in Qatar (M)",Foreign Desk,"[u'NEW YORK CITY', u'QATAR', u'WASHINGTON (DC)']",680,"In an unconventional war in which propaganda is an essential weapon, an Arab-language satellite television channel is striking with relentless power.    Only hours after the first American bombs and missiles dropped on Afghanistan, the channel, Al...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'RECORDINGS (VIDEO)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'TELEVISION', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'NEWS AND NEWS MEDIA', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/09/world/a-nation-challenged-television-an-arab-station-offers-ground-breaking-coverage.html,World,2001-10-09,News,4fd20f998eb7c8105d7826e9
Critic's Notebook: The Age of Irony Isn't Over After All; Assertions of Cynicism's Demise Belie History,"Michiko Kakutani Critic's Notebook column holds cultural prognosticators who declared death of irony, cynicism and black humor in wake of Sept 11 terrorist attacks mistook shock and grief for long-term cultural change; says belief that attacks will lead to kinder, gentler entertainment is at odds with historical record of reactions to earlier tragedies, wars and social upheavals; holds disturbing historical events tend to spur darker works of art resonating with culture's deepest fears; photos (M)",The Arts/Cultural Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",1478,"In the anguished days following Sept. 11 cultural prognosticators were quick to declare the death of irony, cynicism and black humor. ''I think somebody should do a marker that says irony died on 9-11-01,'' Gerry Howard, editorial director of...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'CULTURE', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/09/arts/critic-s-notebook-age-irony-isn-t-over-after-all-assertions-cynicism-s-demise.html,Arts,2001-10-09,News,4fd2171c8eb7c8105d7924ef
The Big City; Best Defense? Don't Get Defensive,John Tierney The Big City column contends that public officials as well as individuals must act rationally in face of terrorist threats (M),Metropolitan Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",742,"IF we assume the worst about Osama bin Laden (and why shouldn't we?), it is rational to fear that his video harangue broadcast on Sunday was a signal for another terrorist attack. In that case, which of the following would have been the most rational...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/09/nyregion/the-big-city-best-defense-don-t-get-defensive.html,New York and Region,2001-10-09,News,4fd2181b8eb7c8105d79454d
A Nation Challenged,,Metropolitan Desk,[],1103,Thunderous Night Attacks    AIRSTRIKES CONTINUE -- B-2 stealth bombers flying from the United States joined carrier-based aircraft and ship-launched missiles in scaled-back strikes on Afghanistan.   A1    ATTACK ON KABUL -- Afghanistan's capital...,The New York Times,[],http://www.nytimes.com/2001/10/09/nyregion/a-nation-challenged-576492.html,New York and Region,2001-10-09,Summary,4fd232038eb7c8105d7c1b8f
America at War: Voices in a Nation on Edge,Philip A S Sedlak letter on Oct 8 article on attack on Afghanistan says Osama bin Laden and Al Qaeda leaders should be tried before international court; drawing,Editorial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)', u'AFGHANISTAN']",115,"To the Editor:    Re ''U.S. and Britain Strike Afghanistan, Aiming at Bases and Terrorist Camps; Bush Warns 'Taliban Will Pay a Price' '' (front page, Oct. 8):    I believe that it would be appropriate to capture Osama bin Laden and the leadership of...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'WAR CRIMES AND CRIMINALS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/09/opinion/l-america-at-war-voices-in-a-nation-on-edge-575844.html,Opinion,2001-10-09,Letter,4fd232038eb7c8105d7c1b9c
Pakistani Is Already Calling on U.S. to End Airstrikes Quickly,"Pakistan Pres Gen Pervez Musharraf calls on United States to make airstrikes brief, and warns against pressing for political change in Afghanistan so fast that Taliban gives way to new government that may be unfriendly to Pakistan; however, aides to Musharraf interpret his remarks to mean that visible airstrikes should last no longer than 10 days, while other air operations to disrupt strongholds of Al Qaeda and Taliban continue; holds that Northern Alliance must not extend its territory as result of airstrikes; said that Pakistan would accept exiled Afghan King Muhammad Zahir Shah as head of new government; Musharraf's attempts to constrain military operations at this early stage may point to fragility of coalition and limited support if quick success is not achieved; photo (M)",Foreign Desk,"[u'NEW YORK CITY', u'PAKISTAN', u'WASHINGTON (DC)', u'AFGHANISTAN']",1477,President Pervez Musharraf of Pakistan made clear today that he wanted the allied military campaign in neighboring Afghanistan to be brief and warned the United States not to press political change so fast that the Islamic clerics of the Taliban give...,The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'ROYAL FAMILY', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/09/world/pakistani-is-already-calling-on-us-to-end-airstrikes-quickly.html,World; Washington,2001-10-09,News,4fd20f998eb7c8105d7826df
Bin Laden's Media Savvy: Expert Timing of Threats,"Judith Miller news analysis on Osama bin Laden's call for jihad, or holy war, broadcast on Al Jazeera television network throughout Arab world following onset of US-led airstrikes on Afghanistan; says this was his most visible platform to vent grievances against West, as speech was rebroadcast incessantly on Arab as well as American television; says use of medium fits with strategy of turning West's modern technology against it; conflicted with Pres Bush's message at beginning of airstrikes, detracting from Bush's media thunder; used Bush's model of dividing world into those for and against terrorists, turning it into infidels versus faithful, appearing to mock president; says each of bin Laden's calls for terror is more savage and ambitious than last, saying this last one indicts all Americans and revels in devastation inflicted on Sept 11; photo (M)",Foreign Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)', u'AFGHANISTAN']",806,"With his turban and camouflage jacket, his ornate Arabic and harsh vows of continued terror against America, Osama bin Laden revealed in his speech the instinctive cunning that has made him such a formidable foe.     This was in fact Mr. bin Laden's...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'TELEVISION', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/10/09/world/nation-challenged-hunted-man-bin-laden-s-media-savvy-expert-timing-threats.html,World; Washington,2001-10-09,News,4fd20f998eb7c8105d7826e5
"One Part Columbus Day, and One Part 4th of July",Article describes scene along Fifth Avenue during annual Columbus Day Parade in Manhattan; photo (M),Metropolitan Desk,[u'NEW YORK CITY'],1026,"Under seas of American and Italian flags, thousands of marchers surged up a sun drenched, crowd-lined Fifth Avenue yesterday in a decidedly untraditional Columbus Day Parade that combined the patriotic themes of a nation newly at war with the...",The New York Times,"[u'PARADES', u'COLUMBUS DAY']",http://www.nytimes.com/2001/10/09/nyregion/one-part-columbus-day-and-one-part-4th-of-july.html,New York and Region,2001-10-09,News,4fd228ae8eb7c8105d7b22df
